Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
3,701,201,400,
3,702,201,400,
3,703,201,400,
3,704,201,400,
3,705,201,400,
3,706,201,400,
3,707,201,400,
3,708,201,400,
3,709,201,400,
3,710,201,400,
3,711,201,400,
3,712,201,400,
3,713,201,400,
3,714,201,400,
3,715,201,400,
3,716,201,400,4.1
3,717,201,400,
3,718,201,400,
3,719,201,400,2.2
3,720,201,400,
3,721,201,400,
3,722,201,400,
3,723,201,400,
4,701,201,400,
4,702,201,400,
4,703,201,400,
4,704,201,400,
4,705,201,400,
4,706,201,400,
4,707,201,400,
4,708,201,400,
4,709,201,400,
4,710,201,400,
4,711,201,400,
4,712,201,400,
4,713,201,400,
4,714,201,400,
4,715,201,400,
4,716,201,400,18.8
4,717,201,400,
4,718,201,400,
4,719,201,400,9.9
4,720,201,400,
4,721,201,400,
4,722,201,400,
4,723,201,400,
5,701,201,400,
5,702,201,400,
5,703,201,400,
5,704,201,400,
5,705,201,400,
5,706,201,400,
5,707,201,400,
5,708,201,400,
5,709,201,400,
5,710,201,400,
5,711,201,400,
5,712,201,400,
5,713,201,400,
5,714,201,400,
5,715,201,400,
5,716,201,400,17.8
5,717,201,400,
5,718,201,400,
5,719,201,400,16.3
5,720,201,400,
5,721,201,400,
5,722,201,400,
5,723,201,400,
6,701,201,400,
6,702,201,400,
6,703,201,400,
6,704,201,400,
6,705,201,400,
6,706,201,400,
6,707,201,400,
6,708,201,400,
6,709,201,400,
6,710,201,400,
6,711,201,400,
6,712,201,400,
6,713,201,400,
6,714,201,400,
6,715,201,400,
6,716,201,400,10.5
6,717,201,400,
6,718,201,400,
6,719,201,400,7
6,720,201,400,
6,721,201,400,
6,722,201,400,
6,723,201,400,
7,701,201,400,
7,702,201,400,
7,703,201,400,
7,704,201,400,
7,705,201,400,
7,706,201,400,
7,707,201,400,
7,708,201,400,
7,709,201,400,
7,710,201,400,
7,711,201,400,
7,712,201,400,
7,713,201,400,
7,714,201,400,
7,715,201,400,
7,716,201,400,12.5
7,717,201,400,
7,718,201,400,
7,719,201,400,7.1
7,720,201,400,
7,721,201,400,
7,722,201,400,
7,723,201,400,
10,701,201,400,
10,702,201,400,
10,703,201,400,
10,704,201,400,
10,705,201,400,
10,706,201,400,
10,707,201,400,
10,708,201,400,
10,709,201,400,
10,710,201,400,
10,711,201,400,
10,712,201,400,
10,713,201,400,
10,714,201,400,
10,715,201,400,
10,716,201,400,39.8
10,717,201,400,
10,718,201,400,
10,719,201,400,27
10,720,201,400,
10,721,201,400,
10,722,201,400,
10,723,201,400,
11,701,201,400,
11,702,201,400,
11,703,201,400,
11,704,201,400,
11,705,201,400,
11,706,201,400,
11,707,201,400,
11,708,201,400,
11,709,201,400,
11,710,201,400,
11,711,201,400,
11,712,201,400,
11,713,201,400,
11,714,201,400,
11,715,201,400,
11,716,201,400,24.6
11,717,201,400,
11,718,201,400,
11,719,201,400,16.3
11,720,201,400,
11,721,201,400,
11,722,201,400,
11,723,201,400,
12,701,201,400,
12,702,201,400,
12,703,201,400,
12,704,201,400,
12,705,201,400,
12,706,201,400,
12,707,201,400,
12,708,201,400,
12,709,201,400,
12,710,201,400,
12,711,201,400,
12,712,201,400,
12,713,201,400,
12,714,201,400,
12,715,201,400,
12,716,201,400,29.4
12,717,201,400,
12,718,201,400,
12,719,201,400,17.7
12,720,201,400,
12,721,201,400,
12,722,201,400,
12,723,201,400,
13,701,201,400,
13,702,201,400,
13,703,201,400,
13,704,201,400,
13,705,201,400,
13,706,201,400,
13,707,201,400,
13,708,201,400,
13,709,201,400,
13,710,201,400,
13,711,201,400,
13,712,201,400,
13,713,201,400,
13,714,201,400,
13,715,201,400,
13,716,201,400,41.3
13,717,201,400,
13,718,201,400,
13,719,201,400,30.7
13,720,201,400,
13,721,201,400,
13,722,201,400,
13,723,201,400,
9,701,201,400,
9,702,201,400,
9,703,201,400,
9,704,201,400,
9,705,201,400,
9,706,201,400,
9,707,201,400,
9,708,201,400,
9,709,201,400,
9,710,201,400,
9,711,201,400,
9,712,201,400,
9,713,201,400,
9,714,201,400,
9,715,201,400,
9,716,201,400,37.7
9,717,201,400,
9,718,201,400,
9,719,201,400,32.7
9,720,201,400,
9,721,201,400,
9,722,201,400,
9,723,201,400,
14,701,201,400,
14,702,201,400,
14,703,201,400,
14,704,201,400,
14,705,201,400,
14,706,201,400,
14,707,201,400,
14,708,201,400,
14,709,201,400,
14,710,201,400,
14,711,201,400,
14,712,201,400,
14,713,201,400,
14,714,201,400,
14,715,201,400,
14,716,201,400,38.7
14,717,201,400,
14,718,201,400,
14,719,201,400,23.1
14,720,201,400,
14,721,201,400,
14,722,201,400,
14,723,201,400,
15,701,201,400,
15,702,201,400,
15,703,201,400,
15,704,201,400,
15,705,201,400,
15,706,201,400,
15,707,201,400,
15,708,201,400,
15,709,201,400,
15,710,201,400,
15,711,201,400,
15,712,201,400,
15,713,201,400,
15,714,201,400,
15,715,201,400,
15,716,201,400,23.5
15,717,201,400,
15,718,201,400,
15,719,201,400,19.1
15,720,201,400,
15,721,201,400,
15,722,201,400,
15,723,201,400,
16,701,201,400,
16,702,201,400,
16,703,201,400,
16,704,201,400,
16,705,201,400,
16,706,201,400,
