geolocation,Year,indicator,value,Target_Number
NCR: National Capital Region,2000,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2001,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2002,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2003,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2004,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2005,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2006,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2007,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2008,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2009,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2010,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2011,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2012,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2013,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2014,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2015,1.2.1 Poverty Proportion,4.1,1.2.
NCR: National Capital Region,2016,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2017,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2018,1.2.1 Poverty Proportion,2.2,1.2.
NCR: National Capital Region,2019,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2020,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2021,1.2.1 Poverty Proportion,,1.2.
NCR: National Capital Region,2022,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2000,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2001,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2002,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2003,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2004,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2005,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2006,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2007,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2008,1.2.1 Poverty Proportion,,1.2.
Region 1: Ilocos Region,2009,1.2.1 Poverty Proportion,,1.2.
